,,,PROGRAMAÇÃO DE CARGAS - Produção,,,,,,,,,,,,,,,,Código:,PQ VE-001-000,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Setor Comercial,,,,,,,,,,,,,,,,27/05/2022 13:08:22,,,,
"TP,",Datas,Carga,Distancia,Uf,Cidade,Pessoa,Dias,Recurso,Qde Ped,Valor Total,Caç / Plat,Diant,Lat,Tras,Chas,Içam,Eixo,SupE,5ª R,Fueiros / Acess TQ,Fx Molas,,
,,,,,,,,"CBHM5000 GR SS RD MM M17 - Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA  - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos","3,00","59.250,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,30/05/2022 Total,,,,,,,,"12,00","274.210,00",  ,,,                 ,,,,,,,,,GARANTIA
,"ter., 31/05/22",Carga 01,"2.550,00","
 MG
  
 ",Sao Gotardo,Mercantil-SãoGotardoMG,31,"F6 SS RS/RS A90 M22 - Carreta Madeira Fixa 6t RS/RS de 2 Eixos - ALT 90 - MAD NAVAL -  Molas, Freios e Pneus não Incluídos","1,00","21.740,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,Conchas Cadastrar Distancia,"
 SP
  
 ",Conchas,COMERCIAL MR,34,"CBH6R FO SS T MM M21 - Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos","3,00","83.700,00",  ,,,                 ,,,,,,,,,GARANTIA
,,,,,,,,"CBH7 FO SS T MM M21 - Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos","1,00","30.715,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,,"CBHM5000 GR SS RD MM M17 - Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA  - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos","3,00","60.900,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,31/05/2022 Total,,,,,,,,"8,00","197.055,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,"qua., 01/06/22",Carga 01,Osvaldo Cruz Cadastrar Distancia,"
 SP
  
 ",Osvaldo Cruz,Solomax-OsvaldoCruzSP,41,"CBH5 FO SS T MM M21 - Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos","2,00","51.400,00",  ,,,                 ,,,,,,,,,CLIENTE NOVO E IMPORTANTE
,,,,,,,,"CBH6R FO SS T MM M21 - Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos","2,00","52.900,00",  ,,,                 ,,,,,,,,,CLIENTE NOVO E IMPORTANTE
,,,,,,,,"CBH7 FO SS T MM M21 - Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos","2,00","61.600,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,,"CBHM10000-2E SS RS/RD M17 - Carreta Hidráulica 6t (10m3) RS/RD de 2 Eixos - FORRAGEIRO - Molas, Freios e Pneus não Incluídos","1,00","32.850,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,,"CBHM4500 SS RD MM M17 - Carreta Hidráulica 4t (4,5m3) RD de 1 Eixo - CAFEEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos","2,00","37.200,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,01/06/2022 Total,,,,,,,,"9,00","235.950,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,"qui., 02/06/22",Carga 01,"2.249,00","
 ES
  
 ",Venda Nova do Imigrante,Lipetral-VendaNovadoImigr,6,CBHM6000 CA SC RD ABA MM P750(I) M21 VJ - Carreta Hidráulica (6m3) RD de 1 Eixo - CAFEEIRA - C/ FREIOS + ABAS LATERAIS + MANG MAIORES + PNEUS - VERDE - Molas não Incluídas,"10,00","250.000,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,02/06/2022 Total,,,,,,,,"10,00","250.000,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,"sex., 03/06/22",Carga 01,"525,00","
 RN
  
 ",Natal,MAQSOL AGRO,36,CBHM6000-2E SS RS/RD P750(I) M17 - Carreta Hidráulica 6t (6m3) RS/RD de 2 Eixos - USO GERAL - C/ PNEUS 750(I) - Molas e Freios não Incluídos,"1,00","42.500,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,"616,00","
 PB
  
 ",Campina Grande,Fornecedora-CampinaGrande,19,CBH6-2E FO SS RS/RD P750(I) M21 AN - Carreta Hidráulica 6t (9m3) RS/RD de 2 Eixos - FORRAGEIRA - C/ PNEUS 750(I) - AZUL - Molas e Freios não Incluídos,"1,00","41.000,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,,CBHM6000-2E SS RS/RS P750(I) M17 AN - Carreta Hidráulica 6t (6m3) RS/RS de 2 Eixos - USO GERAL - C/ PNEUS - AZUL - Molas e Freios não Incluídos,"1,00","35.000,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,"959,00","
 AL
  
 ",Maceio,Pemagri-MaceioAL,34,F6 CS RS/RS A90 M22 - Carreta Madeira Fixa 6t RS/RS de 2 Eixos - ALT 90 - COMP NAVAL - C/ MOLAS - Freios e Pneus não Incluídos,"2,00","52.300,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,"1.111,00","
 SE
  
 ",Nossa Senhora do Socorro,MardisaAgro-NSdoSocorroSE,10,"CBH5 FO SS T M21 VJ - Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - VERDE - Molas, Freios e Pneus não Incluídos","1,00","22.230,00",  ,,,                 ,,,,,,,,,EXPORTAÇÃO
,,,Parnamirim Cadastrar Distancia,"
 RN
  
 ",Parnamirim,Fornecedora-Parnamirim-RN,19,CBH6-2E FO SS RS/RD P750(I) M21 AN - Carreta Hidráulica 6t (9m3) RS/RD de 2 Eixos - FORRAGEIRA - C/ PNEUS 750(I) - AZUL - Molas e Freios não Incluídos,"1,00","41.000,00",  ,,,                 ,,,,,,,,,GARANTIA
,,,,,,,,"CBH6R FO SS T P750(I) M21 AN - Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ PNEUS 750(I) - AZUL - Molas e Freios não Incluídos","1,00","31.670,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,,CBHM6000-2E SS RS/RS P750(I) M17 AN - Carreta Hidráulica 6t (6m3) RS/RS de 2 Eixos - USO GERAL - C/ PNEUS - AZUL - Molas e Freios não Incluídos,"1,00","35.000,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,,F4 CS RS/RS A45 P750(I) M22 - Carreta Madeira Fixa 4t RS/RS de 2 Eixos - ALT 45 - MAD NAVAL - C/ MOLAS + PNEUS - Freios não Incluídos,"1,00","23.805,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,,F6 CS RS/RS A45 CB P750(I) M22 - Carreta Madeira Fixa 6t RS/RS de 2 Eixos - ALT 45 - MAD NAVAL - C/ MOLAS + COMBOIO + PNEUS 750(I) - Freios não Incluídos,"1,00","24.000,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,Carga 02,"430,00","
 PI
  
 ",Piripiri,Campo Norte - PI,8,"CBHM5000 GR SS RD M17 - Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - Molas, Freios e Pneus não Incluídos","1,00","22.000,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,Carga 04,"1.493,00","
 TO
  
 ",Colinas do Tocantins,Portilho-ColinaDoTocantin,17,214105 - RODA 6 FUROS RD (PARAF. 5/8),"5,00","3.250,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,"2.800,00","
 MG
  
 ",Varginha,Minasul2-VarginhaMG,7,"031228VM - TAMPA TRASEIRA ""ABERTURA LATERAL"" [CBH M18 VERMELHA]","1,00","2.300,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,03/06/2022 Total,,,,,,,,"18,00","376.055,00",  ,,,                 ,,,,,,,,,
,"seg., 06/06/22",Carga 01,"2.137,00","
 MG
  
 ",Unai,SMTratores-UnaiMG,37,"F4 SS RS/RS A90 CB P750(I) M22 - Carreta Madeira Fixa 4t RS/RS de 2 Eixos - ALT 90 - MAD NAVAL -  C/ COMBOIO - PNEUS 750(I) - Molas, Freios não Incluídos","1,00","22.930,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,,"FA4 SS RS A90 P750(I) M22 - Carreta Madeira Fixa 4t RS de 1 Eixo – ALT 90 - MAD NAVAL - PNEUS 750(I) - Molas, Freios não Incluídos","1,00","19.050,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,Epitaciolandia Cadastrar Distancia,"
 AC
  
 ",Epitaciolandia,Herbimaq-EpitaciolândiaAC,34,"CBH6R FO SS T P750(I) M21 - Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ PNEUS 750(I) - Molas e Freios não Incluídos","1,00","33.324,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,,FTC6500 SS RS/RS BB P750(I) M22 - Carreta Tanque (6500L) RS/RS de 2 Eixos - TANQUE - BOMBA (MANG 6m) - C/ PNEUS - Molas e Freios não Incluídos,"2,00","87.430,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,43,FTC6500 SS RS/RS BB P750(I) M22 - Carreta Tanque (6500L) RS/RS de 2 Eixos - TANQUE - BOMBA (MANG 6m) - C/ PNEUS - Molas e Freios não Incluídos,"1,00","43.715,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,Rolim de Moura Cadastrar Distancia,"
 RO
  
 ",Rolim de Moura,BoaSafra-RolimdeMouraRO,28,FTC4300 SS RS/RS BB P750(I) M21 - fora de linha Carreta Tanque (4300L) RS/RS de 2 Eixos - TANQUE - BOMBA (MANG 6m) - C/ PNEUS - Molas e Freios não Incluídos,"1,00","35.436,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,Sao Luis de Montes Belos Cadastrar Distancia,"
 GO
  
 ",Sao Luis de Montes Belos,MOTOCEVA-GO,37,"F6 SS RS/RS A45 MT M22 - Carreta Metálica Fixa 6t RS/RS de 2 Eixos – ALT 45 - Molas, Freios e Pneus não Incluídos","1,00","18.400,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,Vilhena Cadastrar Distancia,"
 RO
  
 ",Vilhena,Herbimaq-RO,30,"CBH6R FO SS T M21 AN - Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - AZUL - Molas, Freios e Pneus não Incluídos","1,00","33.324,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,06/06/2022 Total,,,,,,,,"9,00","293.609,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,"ter., 07/06/22",Carga 01,"2.249,00","
 ES
  
 ",Venda Nova do Imigrante,Imigrantes-VNdoImigrantes,38,CBHM6000 CA SC RD MM M21 - Carreta Hidráulica (6m3) RD de 1 Eixo - CAFEEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos,"4,00","87.200,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,"2.260,00","
 ES
  
 ",Cachoeiro de Itapemirim,MMJ-CachoeirodeItapemirim,38,CBHM6000 CA SC RD MM M21 - Carreta Hidráulica (6m3) RD de 1 Eixo - CAFEEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos,"2,00","43.600,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,07/06/2022 Total,,,,,,,,"6,00","130.800,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,"seg., 13/06/22",Carga 01,"2.746,00","
 GO
  
 ",Mineiros,M Fries-Mineiros GO,-25,"FT12500 SS RS/T BB KB R15,5 P400 M22 VJ - Carreta Tanque (12500L) RS/T de 2 Eixos – TANQUE - BOMBA (MANG. 6m) + KIT BOMBEIRO - C/ PNEUS 400 - VERDE - Molas e Freios não Incluídos","1,00","120.000,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,13/06/2022 Total,,,,,,,,"1,00","120.000,00",  ,,,                 ,,,,,,,,,GARANTIA
,"sex., 17/06/22",Carga 01,"1.941,00","
 MG
  
 ",Montes Claros,JRTratores-MontesClarosMG,7,"CBH6R FO SS T MM M21 VM - Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - VERMELHA - Molas, Freios e Pneus não Incluídos","1,00","28.740,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,,"CBHM5000 GR SS RD MM M17 VM - Carreta Hidráulica 5t (5m3) RD de 1 Eixo – GRANELEIRA - C/ MANG MAIORES - VERMELHA - Molas, Freios e Pneus não Incluídos","1,00","21.500,00",  ,,,                 ,,,,,,,,,
,,,"2.254,00","
 MG
  
 ",Ponte Nova,AntonioGaravini-PonteNova,34,"CBHM5000 GR SS RD MM M17 VJ - Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - MANG MAIORES - VERDE - Molas, Freios e Pneus não Incluídos","4,00","83.100,00",  ,,,                 ,,,,,,,,,
,,,,,,,,"CBHM5000 GR SS RD MM M17 VM - Carreta Hidráulica 5t (5m3) RD de 1 Eixo – GRANELEIRA - C/ MANG MAIORES - VERMELHA - Molas, Freios e Pneus não Incluídos","2,00","41.550,00",  ,,,                 ,,,,,,,,,
,17/06/2022 Total,,,,,,,,"8,00","174.890,00",  ,,,                 ,,,,,,,,,CARGA 01 - ALTERADA
,"seg., 20/06/22",Carga 01,"2.687,00","
 GO
  
 ",Jatai,ImplIndependência-JataíGO,44,"FT10500-2E SS RS/RS BB KB R15,5"" P400 M22 - Carreta Tanque (10500L) de Eixo Tandem de 2 Eixos – TANQUE - Molas, Freios e Pneus não Incluídos+","1,00","92.200,00",  ,,,                 ,,,,,,,,,
,20/06/2022 Total,,,,,,,,"1,00","92.200,00",  ,,,                 ,,,,,,,,,
,"seg., 27/06/22",Carga 01,Caiaponia Cadastrar Distancia,"
 GO
  
 ",Caiaponia,Mfries-GO,-25,"FT12500 SS RS/T BB KB R15,5 P400 M22 VJ - Carreta Tanque (12500L) RS/T de 2 Eixos – TANQUE - BOMBA (MANG. 6m) + KIT BOMBEIRO - C/ PNEUS 400 - VERDE - Molas e Freios não Incluídos","1,00","120.000,00",  ,,,                 ,,,,,,,,,
,27/06/2022 Total,,,,,,,,"1,00","120.000,00",  ,,,                 ,,,,,,,,,
,"sex., 01/07/22",Carga 01,"0,00","
 CE
  
 ",Fortaleza,Fornecedora-FortalezaCE,19,CBH6-2E FO SS RS/RD P750(I) M21 AN - Carreta Hidráulica 6t (9m3) RS/RD de 2 Eixos - FORRAGEIRA - C/ PNEUS 750(I) - AZUL - Molas e Freios não Incluídos,"1,00","41.000,00",  ,,,                 ,,,,,,,,,
,,,"616,00","
 PB
  
 ",Campina Grande,Fornecedora-CampinaGrande,19,CBH5 UG CS RD P750(I) M21 AN - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - AZUL - Freios não incluídos,"1,00","26.700,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,,"CBH6R FO SS T P750(I) M21 AN - Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ PNEUS 750(I) - AZUL - Molas e Freios não Incluídos","1,00","35.000,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,Parnamirim Cadastrar Distancia,"
 RN
  
 ",Parnamirim,Fornecedora-Parnamirim-RN,19,F4 CS RS/RS A45 P750(I) M22 - Carreta Madeira Fixa 4t RS/RS de 2 Eixos - ALT 45 - MAD NAVAL - C/ MOLAS + PNEUS - Freios não Incluídos,"1,00","23.805,00",  ,,,                 ,,,,,,,,,
,,,,,,,,F6 CS RS/RS A45 CB P750(I) M22 - Carreta Madeira Fixa 6t RS/RS de 2 Eixos - ALT 45 - MAD NAVAL - C/ MOLAS + COMBOIO + PNEUS 750(I) - Freios não Incluídos,"1,00","24.000,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,01/07/2022 Total,,,,,,,,"5,00","150.505,00",  ,,,                 ,,,,,,,,,
,"qua., 06/07/22",Carga 01,"2.549,00","
 GO
  
 ",Rio Verde,Comigo-RioVerdeGO,49,"FT10500-2E SS RS/RS BB KB R15,5"" P400 M22 - Carreta Tanque (10500L) de Eixo Tandem de 2 Eixos – TANQUE - Molas, Freios e Pneus não Incluídos+","1,00","92.200,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,06/07/2022 Total,,,,,,,,"1,00","92.200,00",  ,,,                 ,,,,,,,,,
,"seg., 01/08/22",CARGA 04,"0,00","
 CE
  
 ",Fortaleza,ITAUEIRA-CE,69,030004 - CONJ PARAFUSADO DO DEFLETOR LE [DEFLETOR TRASEIRO - ENCANTEIRADOR DE 03 LINHAS],"3,00","960,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,,,,,,030081 - CONJ PARAFUSADO DO DEFLETOR LD [DEFLETOR TRASEIRO - ENCANTEIRADOR DE 03 LINHAS],"3,00","960,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,01/08/2022 Total,,,,,,,,"6,00","1.920,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,"qua., 03/08/22",Carga 01,"0,00","
 CE
  
 ",Fortaleza,ITAUEIRA-CE,70,027026 - DEFLETOR TRASEIRO - ENCANTEIRADOR DE 03 LINHAS,"3,00","15.906,00",  ,,,                 ,,,,,,,,,CARGA 02 - ALTERADA
,,,,,,,,027197 - TIRANTE - ENCANTEIRADOR DE 03 LINHAS - REDUZIDO,"3,00","2.130,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,03/08/2022 Total,,,,,,,,"6,00","18.036,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,"qui., 11/08/22",CARGA 04,"0,00","
 CE
  
 ",Fortaleza,ITAUEIRA-CE,80,440001 - FEIXE MOLA RETO (8 LAM) - CARRETA MELÃO (M12/02) REBAIXADA,"15,00","9.630,00",  ,,,                 ,,,,,,,,,PROGRAMADO
,11/08/2022 Total,,,,,,,,"15,00","9.630,00",  ,,,                 ,,,,,,,,,PROGRAMADO
,"seg., 22/08/22",Carga 01,"1.013,00","
 BA
  
 ",Ribeira do Amparo,ITAUEIRA BAHIA,87,222117 - BLOCO MANIFOLD P/ TRAÇÃO DA COLHEDORA CÓD.HFB160404,"4,00","24.320,00",  ,,,                 ,,,,,,,,,PROGRAMADO
,22/08/2022 Total,,,,,,,,"4,00","24.320,00",  ,,,                 ,,,,,,,,,
,"seg., 12/12/22",Carga 01,"1.945,00","
 MG
  
 ",Capelinha,TresVales-CapelinhaMG,41,"FTC4300 SS RS/RS BB M22 - Carreta Tanque (4300L) RS/RS de 2 Eixos - TANQUE - BOMBA (MANG 6m) - Molas, Freios e Pneus não Incluídos","1,00","35.018,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,12/12/2022 Total,,,,,,,,"1,00","35.018,00",  ,,,                 ,,,,,,,,,Cliente Novo
,"ter., 20/12/22",Carga 01,"0,00","
 CE
  
 ",Fortaleza,Fornecedora-FortalezaCE,19,CBHM6000-2E SS RS/RS P750(R) M17 AN - Carreta Hidráulica 6t (6m3) RS/RS de 2 Eixos - USO GERAL - C/ PNEUS 750(R) - AZUL - Molas e Freios não Incluídos,"1,00","35.000,00",  ,,,                 ,,,,,,,,,PROGRAMADO
,,,,,,,,F6 CS RS/RS A45 P750(I) M22 - Carreta Madeira Fixa 6t RS/RS de 2 Eixos - Comp Naval - ALT 45 - C/ MOLAS + PNEUS - Freios não Incluídos,"1,00","27.287,00",  ,,,                 ,,,,,,,,,PROGRAMADO
,,,"812,00","
 PI
  
 ",Canto do Buriti,ITAUEIRA PI-11,207,018338 - ENGATE S/TRAVA -  GRADES  CBHM,"50,00","500,00",  ,,,                 ,,,,,,,,,PROGRAMADO
,,,,,,,,"214111 - RODA W 10 X 24"" 9 FUROS","2,00","3.200,00",  ,,,                 ,,,,,,,,,PROGRAMADO
,20/12/2022 Total,,,,,,,,"54,00","65.987,00",  ,,,                 ,,,,,,,,,PROGRAMADO
,"qua., 21/12/22",Carga 01,"4.798,00","
 MT
  
 ",Guaranta do Norte,Agrocentro-Guaranta MT,44,"FTC6500 SS RS/RS PL M22 - Carreta Tanque (6500L) RS/RS de 2 Eixos - TANQUE - PLAT P/ BOMBA - Molas, Freios e Pneus não Incluídos","1,00","30.615,00",  ,,,                 ,,,,,,,,,PROGRAMADO
,,,Alto Taquari Cadastrar Distancia,"
 MT
  
 ",Alto Taquari,Mfries- MT,-25,"FT12500 SS RS/T BB KB R15,5 P400 M22 VJ - Carreta Tanque (12500L) RS/T de 2 Eixos – TANQUE - BOMBA (MANG. 6m) + KIT BOMBEIRO - C/ PNEUS 400 - VERDE - Molas e Freios não Incluídos","1,00","120.000,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,,,Primavera do Leste Cadastrar Distancia,"
 MT
  
 ",Primavera do Leste,Centralmaq-MT,31,FTC4300 CS RS/RS M21 - fora de linha Carreta Tanque (4300L) RS/RS de 2 Eixos - TANQUE - C/ MOLAS - Freios e Pneus não Incluídos,"1,00","24.786,00",  ,,,                 ,,,,,,,,,
,21/12/2022 Total,,,,,,,,"3,00","175.401,00",  ,,,                 ,,,,,,,,,
